url,title,nodes_number
https://www.youtube.com/watch?v=RObC1BqDSms,Lambda функции для быстрых вычислений | Аналитик данных | karpov.courses,8
https://www.youtube.com/watch?v=cj6Cghd1BKI,Женя Козлов — Я был первым аналитиком Яндекс Маркета  | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=PgatmqhdGkk,Лёша Баталов — в Яндекс на первую работу | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=QihLoQGf2V4,"Аделина Басырова — Лучший менеджер тот, у которого всё работает без него | Подкаст | karpov.courses",16
https://www.youtube.com/watch?v=h_oNVxy0IOQ,Как решать задачи | Симулятор SQL | karpov.courses,9
https://www.youtube.com/watch?v=fSr10X9cZYE,Построение дашбордов | Симулятор SQL | karpov.courses,14
https://www.youtube.com/watch?v=W9L1Bb5wG1I,Юлия Михелёва — о пути во фронтенд через тестирование | Подкаст | karpov.courses,13
https://www.youtube.com/watch?v=PjMpSVbDuZ0,Лаврентий Данилов: Машинное обучение в биологии,14
https://www.youtube.com/watch?v=DzWY_zceCxk,System Design с Валерием Бабушкиным | Выпуск 2 | Собеседование | karpov.courses,13
https://www.youtube.com/watch?v=kWipfZhBpE0,Шум и GAM: обобщённые аддитивные модели | Вебинар Александра Манаенкова | karpov.courses,17
https://www.youtube.com/watch?v=6adGYmQeJNw,Middle Data Scientist | Часть 2. Секция Python и работы с данными | Собеседование | karpov.courses,8
https://www.youtube.com/watch?v=ybvZh8sBMXM,Максим Годзи – о различиях между аналитиками в России и США,5
https://www.youtube.com/watch?v=lOQa2M_-C1k,Полезные функции Clickhouse | Анатолий Карпов | karpov.courses,16
https://www.youtube.com/watch?v=TOK7Kq7x0yc,Методы обнаружения выбросов | Вебинар Яна Пиле | karpov.courses,12
https://www.youtube.com/watch?v=2QLHcgYtCt4,Андрей Себрант — из советской науки в IT маркетинг | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=arlz6jQ921E,Влад Грозин о рекомендательных системах и Data Science | Интервью | karpov.courses,17
https://www.youtube.com/watch?v=kBwb-CuH6ZQ,Андрей Сулейманов: в резюме не всегда нужно говорить правду | Интервью | karpov.courses,16
https://www.youtube.com/watch?v=9hMjohYD6BA,Чего ожидать от курса «Hard Аналитика» | Нерсес Багиян | karpov.courses,5
https://www.youtube.com/watch?v=hv6jonYDwzI,Кем стать в Data Science? | karpov.courses,7
https://www.youtube.com/watch?v=-BjX0S1M7m0,Особенности трудоустройства в США | Вебинар | karpov.courses,16
https://www.youtube.com/watch?v=_5K1P8QQ5hs,Максим Годзи о приёмах Data Science в продуктовой аналитике | Часть 2 | karpov.courses,22
https://www.youtube.com/watch?v=Ec6EYbcF50k,Открытое собеседование по статистике с Анатолием Карповым | karpov.courses,15
https://www.youtube.com/watch?v=c1u1gM6x1Tg,Учимся использовать метод строк FORMAT | Аналитик данных | karpov.courses,8
https://www.youtube.com/watch?v=LHKVcx115fw,Денис Пехтерев — от мечты стать CEO до карьеры в аналитике данных | Подкаст | karpov.courses,20
