url,title,length,publish_date
https://www.youtube.com/watch?v=c7TTe5_cnc0,Арамаис Малхасян — в аналитики из семьи врачей | Подкаст | karpov.courses,3701,2021-11-16
https://www.youtube.com/watch?v=fRU_PXSRNCc,Фильтрация данных в Pandas | Анатолий Карпов | karpov.courses,1153,2022-03-13
https://www.youtube.com/watch?v=0KNYqt2kuqs,"Василий Сабиров — мы делали так, чтобы пользователю было классно, но недолго | Подкаст",6253,2023-07-26
https://www.youtube.com/watch?v=WKYPQtqE-m0,ML System Design с Валерием Бабушкиным | Выпуск 2 | Собеседование | karpov.courses,4501,2021-08-28
https://www.youtube.com/watch?v=hfrNLA-cHqo,Валерий Бабушкин: от карьеры в химометрике до директора по анализу данных | Подкаст | karpov.courses,4787,2021-05-08
https://www.youtube.com/watch?v=v3T8p_75vd4,Визуализация как метод исследования данных | Аналитик данных | karpov.courses,1001,2020-07-31
https://www.youtube.com/watch?v=ANlm1kP3orQ,Никита Елаков — как сменить хоккей на QA | Подкаст | karpov.courses,5089,2021-07-26
https://www.youtube.com/watch?v=gljfGAkgX_o,"Никита Маршалкин: A/B-тесты сложнее, чем кажется | Интервью | karpov.courses",2240,2020-09-01
https://www.youtube.com/watch?v=aLEDlTvLRPQ,Как оценить эффективность рекламной кампании. Считаем Retention Rate в ClickHouse | Беслан Курашов,2305,2020-07-29
https://www.youtube.com/watch?v=6hZiRfm85Ug,Сергей Шаров — Часть моей работы уже проходит в ChatGPT | Подкаст | karpov.courses,6222,2023-06-13
https://www.youtube.com/watch?v=9W1v-DkXriY,Роман Бунин — Что общего между инженерами и программистами? | Подкаст | karpov.courses,5126,2023-08-09
https://www.youtube.com/watch?v=UHQ5bv-_Wzg,Никита Васильев — как учиться проходить собеседования на собеседованиях | Подкаст | karpov.courses,4610,2023-02-07
https://www.youtube.com/watch?v=eKArZfPErkQ,Сергей Колесников – о карьерном пути и Data Science в Тинькофф,3486,2021-09-09
https://www.youtube.com/watch?v=PZK47FxzWsk,"DataLens: дашборды, селекторы и параметры | karpov.courses",1101,2022-10-26
https://www.youtube.com/watch?v=e3s85Zcv0K0,Иван Волков — о самообучении в IT и работе тимлидом | Подкаст | karpov.courses,3335,2023-01-25
https://www.youtube.com/watch?v=rJZVxWREJuU,Саша Дончук — от электромобилей к компьютерному зрению для поездов | Подкаст | karpov.courses,3829,2022-04-05
https://www.youtube.com/watch?v=d19P4zOI_U8,"Михаил Серёгин – ЭЭГ, нейромаркетинг и Яндекс | Подкаст | karpov.courses",4643,2021-06-14
https://www.youtube.com/watch?v=r05eBsZgnI0,Способы самопроверки при анализе данных | Аналитик данных | karpov.courses,399,2020-07-30
https://www.youtube.com/watch?v=Fj4zBcRl-5I,Бланка Шупе — как уйти из маркетинга в IT и открыть свой коворкинг | Подкаст | karpov.courses,4626,2022-11-20
https://www.youtube.com/watch?v=YpJ97aKsPj0,Особенности трудоустройства в Австралии | Вебинар | karpov.courses,4265,2023-07-15
https://www.youtube.com/watch?v=Xy3RWYKRVb4,JOIN | Симулятор SQL | karpov.courses,1293,2023-07-06
https://www.youtube.com/watch?v=iqbsHiSnZQE,System Design с Валерием Бабушкиным | Выпуск 3 | Собеседование | karpov.courses,2967,2022-03-24
https://www.youtube.com/watch?v=EW1dr9sdsyQ,Визуализация в Superset: плюсы и минусы | Анатолий Карпов | karpov.courses,2446,2022-08-17
https://www.youtube.com/watch?v=MJMjGRU8uUc,Зачем делать pet-проекты? | karpov.courses,317,2023-08-23
https://www.youtube.com/watch?v=G9d2likA-_E,Что такое градиентный бустинг? | Григорий Будорагин | karpov.courses,566,2023-03-11
https://www.youtube.com/watch?v=YsR_bWQUDsQ,"Алина Гребёнкина — как сделать так, чтобы разработчики использовали Kotlin | Подкаст |karpov.courses",2619,2022-12-28
https://www.youtube.com/watch?v=DmetraJABBU,О разнице зарплат аналитиков в России и за рубежом | Валерий Бабушкин | karpov.courses,334,2020-12-19
https://www.youtube.com/watch?v=32adYT59UE4,Почему аналитика данных — это база в Data Science | karpov.courses,222,2022-09-06
https://www.youtube.com/watch?v=6wGqWxFtnho,Data Science в России | Голосовой чат | karpov.courses,2972,2022-05-10
https://www.youtube.com/watch?v=XWbN5v_a1Lk,Оконные функции основы | Симулятор SQL | karpov.courses,1172,2023-07-06
https://www.youtube.com/watch?v=OXtOhjeiTzw,Работа аналитиком за рубежом | Голосовой чат | karpov.courses,3190,2022-05-10
https://www.youtube.com/watch?v=yzpGAEgW8Q4,Почему идеальный английский не обязателен для работы в зарубежной компании | karpov.courses,1228,2023-06-11
https://www.youtube.com/watch?v=qL1nxnEL0gE,Сергей Бережной — от html-вёрстки до управления разработкой в Яндексе | Подкаст | karpov.courses,4684,2022-06-17
https://www.youtube.com/watch?v=dlc7yJ6BGxE,Константин Павлов о маркетинговой аналитике | Интервью | karpov.courses,2486,2021-08-22
https://www.youtube.com/watch?v=hvMvNmiaW8M,Анатолий Карпов – о каждом модуле курса «Аналитик данных»,1268,2021-05-12
https://www.youtube.com/watch?v=39iwf3N1juo,Data Engineer 2022 | Дорожная карта | Александр Савченко | karpov.courses,3072,2022-06-04
https://www.youtube.com/watch?v=3YPNB8XgWzc,"Валерий Бабушкин об уходе из Blockchain.com, книге и будущем LLM | Интервью | karpov.courses",5629,2023-07-22
https://www.youtube.com/watch?v=CTrDndT6eW8,Алина Карась — Хороший аналитик всегда немного менеджер | Подкаст | karpov.courses,4440,2023-06-27
https://www.youtube.com/watch?v=ZY0ywLXKUkI,Как автоматизировать скучную работу в Pandas? | Аналитик данных | karpov.courses,577,2020-07-30
https://www.youtube.com/watch?v=Ppl6w-_aRjM,Елена Серёгина – из жены браузера в аналитический консалтинг | Подкаст | karpov.courses,4147,2021-06-28
https://www.youtube.com/watch?v=taNM2CIjizE,Выбираем нужный JOIN | Симулятор SQL | karpov.courses,1159,2023-07-06
https://www.youtube.com/watch?v=qMqjrhNi6hU,Заключение | Симулятор SQL | karpov.courses,105,2023-07-06
https://www.youtube.com/watch?v=k5lIzSTsNY4,"Основатели Experiment Fest об образовании, анализе данных и бизнесе | Интервью | karpov.courses",3051,2020-09-20
https://www.youtube.com/watch?v=LhmU-oPFxj4,Зачем нужен Симулятор ML-инженера? | Валерий Бабушкин | karpov.courses,258,2022-07-12
https://www.youtube.com/watch?v=R3B9G1CVxfk,Андрей Еськов — уйти в разработку после 10 лет в банке | Подкаст | karpov.courses,4077,2023-02-21
https://www.youtube.com/watch?v=KbghMJHltPY,Дима Потапов – как стать хэдом продуктовой аналитики в Miro | Подкаст | karpov.courses,4421,2022-05-04
https://www.youtube.com/watch?v=hoI2_839aEY,Влад Петрашкевич — из арабиста в Full Stack разработчика | Подкаст | karpov.courses,3858,2022-11-30
https://www.youtube.com/watch?v=u-xjI5etUlM,Дарья Яковлева о работе в Google и машинном обучении ВКонтакте | Интервью | karpov.courses,2516,2021-03-18
https://www.youtube.com/watch?v=biJRGBlj_1M,Вова Мюге — как играть в онлайн-игры и доиграться до руководителя | Подкаст | karpov.courses,4514,2021-07-12
https://www.youtube.com/watch?v=6ftRaV895zU,Артур Хачуян о Big Data в рекламе и политике | Интервью | karpov.courses,3468,2020-10-16
https://www.youtube.com/watch?v=GQP5fe5fXbs,Какие переменные есть в Python? | Аналитик данных | karpov.courses,842,2020-07-29
https://www.youtube.com/watch?v=3LsBhdb-PI4,Ваня Нетреба — о работе в IT после учёбы на геодезиста | Подкаст | karpov.courses,2423,2022-09-28
https://www.youtube.com/watch?v=RMyi-sazRTw,Как найти первую работу в Data Science? | Взгляд HR | karpov.courses,1899,2022-06-07
https://www.youtube.com/watch?v=Glu_-XffZB0,Математика для машинного обучения,136,2022-03-27
https://www.youtube.com/watch?v=oKBQsrE_sM8,Илья Богин — Тернистый путь программиста с самого детства | Подкаст | karpov.courses,4368,2022-07-28
https://www.youtube.com/watch?v=1tVxbVPVG6k,Валерий Бабушкин: зачем и куда ушёл из Facebook? | Интервью | karpov.courses,3986,2022-01-26
https://www.youtube.com/watch?v=UnhkAPWGeW0,Что можно делать со списками? Методы списков в Python | Аналитик данных | karpov.courses,579,2020-07-29
https://www.youtube.com/watch?v=eO9ohjuc86w,Вступление | Симулятор SQL | karpov.courses,290,2023-07-06
https://www.youtube.com/watch?v=J4NS0IfEk7c,Максим Приходский — проработать десять лет в одной компании и не выгореть | Подкаст | karpov.courses,3037,2022-08-25
https://www.youtube.com/watch?v=i63LwXHzQOg,Сергей Скворцов — от увлечения железом до программирования беспилотников | Подкаст | karpov.courses,5841,2022-03-24
https://www.youtube.com/watch?v=v-V1pCbVEKg,Саша Гребенюк - от ростовой куклы слона до проджекта в Яндексе | Подкаст | karpov courses,4008,2022-10-19
https://www.youtube.com/watch?v=36N_hqQExKA,Николай Дубовик — как оставить свой бизнес и стать инженером данных | Подкаст | karpov.courses,4598,2022-03-10
https://www.youtube.com/watch?v=bKIYyMWNlrQ,Группировка данных | Симулятор SQL | karpov.courses,878,2023-07-06
https://www.youtube.com/watch?v=GfuvKLLFvQo,Ира Александрова – из онлайн-казино в руководители аналитики | Подкаст | karpov.courses,4909,2021-10-20
https://www.youtube.com/watch?v=3X-TAuWdIAc,ML System Design с Валерием Бабушкиным | Выпуск 3 | Собеседование | karpov.courses,4328,2021-09-19
https://www.youtube.com/watch?v=kFpj3ActhII,"Настя Маркианова — что сделать с ИИ, чтобы признать, что у него есть разум? |Подкаст| karpov.courses",5092,2023-05-16
https://www.youtube.com/watch?v=yQ7qHZBY5xI,Как применять оконные функции в SQL и Pandas | Анатолий Карпов | karpov.courses,1335,2023-01-17
https://www.youtube.com/watch?v=kJlAXHPz8c0,Алексей Бабаков — Доверие в EdTech — это очень дорогая валюта | Подкаст | karpov.courses,7874,2023-05-31
https://www.youtube.com/watch?v=apRK-HDcn5M,Сергей Панюшкин — от увлечения iOS к управлению ростом | Подкаст | karpov.courses,3156,2021-12-02
